id_venda,data_venda,tipo_vinho,produto,safra,preco_unitario,quantidade,desconto_aplicado,canal,regiao_cliente,tipo_cliente,forma_pagamento,valor_total,sucesso_venda
1,2025-01-08,Branco,Sauvignon Blanc,2018,209.35,9,0.0,Distribuidor,Sul,PF,Boleto,1884.15,1
2,2026-02-27,Tinto,Cabernet Reserva,2013,97.23,2,0.15,E-commerce,Nordeste,PF,Credito,165.29,1
3,2024-10-28,Branco,Riesling Doce,2011,68.32,5,0.0,Eventos,Centro-Oeste,PF,Credito,341.6,0
4,2026-04-03,Branco,Sauvignon Blanc,2003,150.38,6,0.0,Loja Fisica,Sudeste,PF,Credito,902.28,0
5,2025-12-09,Tinto,Cabernet Reserva,2009,157.85,34,0.1,E-commerce,Sudeste,PJ,Pix,4830.21,1
6,2024-01-07,Tinto,Tannat Especial,2011,233.56,7,0.0,Distribuidor,Sul,PF,Pix,1634.92,1
7,2025-02-04,Branco,Sauvignon Blanc,2013,117.75,1,0.0,E-commerce,Nordeste,PF,Debito,117.75,1
8,2024-12-13,Tinto,Malbec Premium,2007,258.72,11,0.05,Distribuidor,Sudeste,PF,Credito,2703.62,0
9,2024-12-11,Branco,Sauvignon Blanc,2017,147.76,9,0.0,Distribuidor,Sudeste,PF,Credito,1329.84,1
10,2025-08-15,Tinto,Malbec Premium,2008,103.67,7,0.0,E-commerce,Sudeste,PF,Debito,725.69,0
11,2025-08-18,Espumante,Brut Tradicional,2010,174.39,9,0.0,Loja Fisica,Norte,PF,Pix,1569.51,0
12,2024-06-21,Tinto,Merlot Classico,2018,274.25,1,0.05,Loja Fisica,Sul,PF,Pix,260.54,1
13,2025-07-07,Branco,Chardonnay Safra,2007,87.46,3,0.0,Loja Fisica,Sudeste,PF,Debito,262.38,1
14,2026-02-26,Tinto,Malbec Premium,2023,210.22,2,0.15,E-commerce,Sudeste,PF,Credito,357.37,1
15,2025-02-21,Tinto,Merlot Classico,2007,220.58,11,0.05,Eventos,Sul,PF,Credito,2305.06,1
16,2026-02-01,Rose,Rose Provence,2006,155.72,2,0.1,Loja Fisica,Sul,PF,Pix,280.3,0
17,2026-02-18,Tinto,Merlot Classico,2019,298.23,4,0.0,Loja Fisica,Sudeste,PF,Credito,1192.92,0
18,2025-03-14,Tinto,Merlot Classico,2010,347.94,4,0.2,Loja Fisica,Centro-Oeste,PF,Credito,1113.41,0
19,2026-01-30,Rose,Rose Provence,2008,82.28,5,0.1,E-commerce,Sudeste,PF,Pix,370.26,1
20,2024-07-24,Espumante,Moscatel Doce,2014,361.11,5,0.0,Loja Fisica,Nordeste,PF,Credito,1805.55,1
21,2026-04-07,Branco,Chardonnay Safra,2003,188.76,4,0.0,E-commerce,Sudeste,PF,Credito,755.04,1
22,2025-05-09,Branco,Riesling Doce,2003,83.51,10,0.2,Loja Fisica,Nordeste,PF,Pix,668.08,1
23,2025-02-19,Tinto,Cabernet Reserva,2000,229.9,6,0.1,E-commerce,Centro-Oeste,PF,Boleto,1241.46,1
24,2024-12-22,Tinto,Merlot Classico,2011,291.89,18,0.0,Eventos,Sul,PJ,Pix,5254.02,1
25,2025-11-09,Rose,Rose Provence,2014,123.63,9,0.0,Loja Fisica,Sul,PF,Pix,1112.67,1
26,2026-01-08,Branco,Riesling Doce,2019,80.0,10,0.0,E-commerce,Sudeste,PF,Pix,800.0,1
27,2025-12-02,Tinto,Cabernet Reserva,2006,121.48,8,0.0,Loja Fisica,Sudeste,PJ,Credito,971.84,1
28,2024-05-28,Tinto,Cabernet Reserva,2007,216.22,10,0.2,Loja Fisica,Sul,PF,Credito,1729.76,0
29,2024-06-03,Tinto,Malbec Premium,2001,180.88,4,0.05,Loja Fisica,Sudeste,PF,Credito,687.34,1
30,2024-02-14,Rose,Rose Provence,2023,174.26,11,0.15,Eventos,Sudeste,PJ,Boleto,1629.33,1
31,2024-04-24,Branco,Riesling Doce,2009,181.52,32,0.0,E-commerce,Sul,PJ,Debito,5808.64,1
32,2024-12-20,Tinto,Cabernet Reserva,2009,265.15,5,0.0,Loja Fisica,Sudeste,PF,Credito,1325.75,0
33,2025-02-13,Espumante,Moscatel Doce,2019,255.14,10,0.1,Loja Fisica,Sul,PJ,Pix,2296.26,1
34,2024-06-21,Branco,Chardonnay Safra,2002,197.89,7,0.0,E-commerce,Nordeste,PF,Debito,1385.23,0
35,2026-03-27,Tinto,Tannat Especial,2022,148.41,37,0.05,Distribuidor,Sul,PJ,Pix,5216.61,1
36,2024-05-25,Branco,Chardonnay Safra,2018,211.86,9,0.05,E-commerce,Sul,PF,Debito,1811.4,1
37,2024-04-11,Espumante,Moscatel Doce,2018,298.08,11,0.0,Loja Fisica,Sudeste,PF,Credito,3278.88,0
38,2024-08-18,Branco,Sauvignon Blanc,2022,143.2,1,0.0,Loja Fisica,Sudeste,PF,Credito,143.2,0
39,2026-03-07,Branco,Riesling Doce,2017,240.73,1,0.0,Distribuidor,Sudeste,PF,Boleto,240.73,0
40,2024-04-13,Branco,Chardonnay Safra,2019,116.12,8,0.05,E-commerce,Sul,PF,Debito,882.51,1
41,2026-02-20,Tinto,Merlot Classico,2006,305.96,28,0.0,Distribuidor,Sudeste,PJ,Pix,8566.88,0
42,2025-07-07,Branco,Chardonnay Safra,2003,207.59,5,0.0,Loja Fisica,Centro-Oeste,PF,Credito,1037.95,0
43,2024-01-31,Branco,Riesling Doce,2005,221.39,11,0.0,Loja Fisica,Sudeste,PF,Pix,2435.29,0
44,2025-10-19,Espumante,Brut Tradicional,2002,246.4,2,0.1,E-commerce,Nordeste,PF,Credito,443.52,0
45,2024-05-12,Rose,Rose Provence,2023,149.5,6,0.0,E-commerce,Sudeste,PF,Pix,897.0,1
46,2026-01-22,Tinto,Cabernet Reserva,2023,203.81,5,0.15,E-commerce,Sudeste,PF,Credito,866.19,1
47,2024-05-03,Branco,Sauvignon Blanc,2015,238.71,3,0.0,Eventos,Sudeste,PF,Pix,716.13,1
48,2025-02-07,Tinto,Tannat Especial,2010,244.97,7,0.1,Loja Fisica,Sudeste,PF,Credito,1543.31,1
49,2024-07-04,Tinto,Tannat Especial,2011,140.91,6,0.05,E-commerce,Sudeste,PF,Credito,803.19,1
50,2025-07-05,Branco,Sauvignon Blanc,2010,178.94,10,0.0,E-commerce,Sudeste,PJ,Debito,1789.4,1
51,2026-01-24,Branco,Sauvignon Blanc,2007,219.1,3,0.05,Eventos,Sul,PF,Pix,624.43,1
52,2025-12-17,Tinto,Tannat Especial,2007,280.53,9,0.0,Loja Fisica,Sudeste,PF,Credito,2524.77,0
53,2024-11-12,Rose,Rose Provence,2023,199.41,6,0.15,Loja Fisica,Sul,PF,Credito,1016.99,1
54,2025-08-23,Branco,Chardonnay Safra,2012,91.11,9,0.0,Loja Fisica,Sul,PF,Credito,819.99,0
55,2025-04-18,Espumante,Moscatel Doce,2009,114.82,10,0.15,Distribuidor,Norte,PF,Credito,975.97,1
56,2024-05-08,Tinto,Tannat Especial,2007,212.35,3,0.05,Loja Fisica,Centro-Oeste,PF,Credito,605.2,1
